elo_prob1,score1,score2
0.359025742,10,16
0.277419155,22,7
0.553058278,53,20
0.352630427,24,27
0.169843838,24,20
0.403814223,28,31
0.790037129,34,9
0.881536322,23,3
0.702597748,39,36
0.449950235,13,22
0.716464624,21,13
0.678928609,27,24
0.884909645,17,13
0.597605472,24,26
0.571795778,19,3
0.362219186,21,24
0.829270452,43,24
0.693934939,38,3
0.558392139,27,34
0.583097959,10,33
0.675807478,34,17
0.537096868,3,19
0.44112529,26,21
0.646799045,32,35
0.701861087,45,21
0.395000429,25,24
0.305184268,29,18
0.857182678,49,27
0.634308145,26,10
0.81063124,52,0
0.618929037,33,34
0.281377008,13,14
0.494533017,16,29
0.568819294,31,13
0.337426436,13,16
0.471425866,28,41
0.794393936,24,17
0.561002358,13,28
0.371524981,24,25
0.482392508,14,24
0.484287154,7,36
0.824035212,34,17
0.728166401,30,24
0.359310605,13,27
0.657339144,17,14
0.727092868,10,41
0.191873268,24,13
0.657897765,21,42
0.349954329,0,24
0.40955345,14,23
0.798400926,43,37
0.466776671,6,12
0.536799166,11,16
0.420337258,20,27
0.640320914,27,38
0.767617932,19,17
0.793716154,17,7
0.739381128,17,10
0.831764424,31,13
0.428660942,0,30
0.710246305,16,14
0.37749724,21,13
0.820994881,41,13
0.767734972,24,13
0.418653688,10,22
0.909053319,20,12
0.523044053,15,31
0.570712984,21,13
0.603383416,35,38
0.232994627,27,24
0.70889512,17,13
0.386010132,25,13
0.44220271,6,35
0.14807489,16,17
0.682309655,14,30
0.584766444,42,7
0.312050093,26,24
0.653411435,20,12
0.222744227,3,20
0.356545702,14,20
0.652323402,27,37
0.656420556,37,35
0.407400346,37,28
0.493688374,20,17
0.197115426,17,44
0.909467942,47,14
0.657910721,30,20
0.88638518,20,6
0.518985755,26,34
0.572548254,3,34
0.829880837,23,17
0.686292822,13,9
0.19967691,10,27
0.567625882,19,7
0.844264225,9,17
0.608780369,27,17
0.813196328,20,10
0.38870676,20,23
0.781942975,24,37
0.647666502,17,30
0.527892734,27,16
0.688742718,24,20
0.597957028,26,10
0.683654492,35,31
0.826451828,31,17
0.686712804,13,24
0.588861492,26,21
0.738423818,28,22
0.671575857,45,7
0.415627777,28,24
0.722341919,28,21
0.432684959,10,17
0.314187001,34,31
0.341554408,9,20
0.52582065,27,14
0.543006497,20,27
0.617676454,31,10
0.337954296,23,31
0.570413968,33,28
0.665105488,31,19
0.643261459,14,42
0.617560898,19,13
0.378138648,13,33
0.732967231,27,26
0.474641532,26,24
0.658839041,20,3
0.525722462,24,31
0.685069493,24,17
0.763696627,19,26
